initial_token,token_with_border
çəkməkdə,çək<>məkdə
carnby,carnb<>y
yaddilli,yaddil<>l<>i
cövdətlə,cövdətl<>ə
aiddirsə,aiddirs<>ə
sadəcə,sadəc<>ə
tapmı,tap<>mı
monitar,monita<>r
azan,aza<>n
göçlerin,göçleri<>n
inanaraq,inanar<>a<>q
toplumçu,top<>lumç<>u
adamın,ada<>mın
mahnılar,mah<>nılar
çengelnn,çengeln<>n
roçester,roçest<>e<>r
vonu,von<>u
abidəni,abidən<>i
qurumu,qur<>u<>mu
pirincin,pirinci<>n
itburnu,itburn<>u
topası,top<>as<>ı
əlamətlə,əla<>mətlə
ahıllara,ahıllar<>a
şahab,şah<>ab
cultures,culture<>s
konsille,kon<>sill<>e
tatamiyə,tatamiy<>ə
seçmişdi,seç<>mişdi
şamaxını,şamaxın<>ı
formula,for<>m<>ula
jrqili,jrqi<>l<>i
soylara,soy<>lara
açıld,açı<>ld
dönü,dön<>ü
çağurur,çağ<>uru<>r
şərəfdi,şər<>əfd<>i
məbəği,məbəğ<>i
dalavere,dalaver<>e
lapça,lapç<>a
keçirdim,keç<>i<>rdim
minirəm,min<>irə<>m
mövqəm,möv<>qəm
kusma,kusm<>a
birden,bir<>den
tapa,tap<>a
agla,agl<>a
arçelik,arçel<>i<>k
tutuma,tut<>u<>ma
yorğan,yorğa<>n
genişdi,gen<>işd<>i
davranış,dav<>ranış
görü,gör<>ü
seynova,seyno<>v<>a
istilik,ist<>i<>lik
adernek,adern<>e<>k
geçirmek,geç<>irmek
nmmye,nmmy<>e
çıktı,çık<>tı
yaşarla,yaş<>a<>rla
aşiretin,aşireti<>n
keçird,keç<>i<>rd
nümunədi,nüm<>unədi
saklamak,saklama<>k
olasa,ola<>sa
şərtli,şər<>tli
günəşə,gün<>əşə
besutlar,besutl<>a<>r
döşürmək,döşürm<>ə<>k
heyvani,hey<>vani
uğurata,uğurat<>a
zərfi,zər<>fi
bamozai,bamoza<>i
abela,abel<>a
sərfəli,sərfə<>l<>i
beluçça,bel<>uçça
kimyager,kim<>yager
dinlərdə,din<>lərd<>ə
yazacaq,yaz<>acaq
blokdan,blokd<>a<>n
higgins,higgin<>s
ırmağın,ırmağı<>n
ovulub,ovulu<>b
lbtt,lbt<>t
məzmun,məz<>mun
mənsub,mən<>sub
aczi,acz<>i
təməlidi,təm<>əlid<>i
pepinov,pepin<>o<>v
tobaxçi,tobaxç<>i
evsafta,evsaft<>a
bznes,bzne<>s
kanqarni,kan<>qarn<>i
firudin,firudi<>n
şelli,şell<>i
ərgən,ərg<>ə<>n
bozmamak,bozmam<>a<>k
çağdaşı,çağ<>daşı
vardi,var<>di
nikkei,nikke<>i
hamımızı,hamımız<>ı
velud,velu<>d
adlayıb,adl<>ayı<>b
durnatək,durnat<>ə<>k
chennai,chenna<>i
çatma,çat<>ma
melilla,melil<>l<>a
döngəsi,dön<>gəsi
qəniməti,qənimət<>i
təcir,təc<>ir
geçmeden,geçmed<>e<>n
duyu,duy<>u
çalışıld,çal<>ı<>şıld
korlad,kor<>lad
yoxdurmu,yoxdurm<>u
jersey,jerse<>y
geleceğe,gel<>eceğe
izdaniə,izdani<>ə
şehname,şehnam<>e
aktyor,akt<>yor
düvrünü,düvrün<>ü
vitytis,vityti<>s
dağların,dağ<>ların
barok,bar<>ok
efemer,efem<>e<>r
fərqli,fər<>qli
qəfəsdə,qəfəsd<>ə
çevirmiş,çev<>irmiş
qabbasov,qabbas<>o<>v
tacirlər,tacirlə<>r
güdməklə,güdməkl<>ə
hansısa,hansıs<>a
edildiği,edi<>ldiğ<>i
plastika,pla<>stika
paritet,par<>itet
qacarın,qacarı<>n
artaca,art<>aca
laqlri,laqlr<>i
planşet,pla<>n<>şet
artırd,art<>ı<>rd
sanın,san<>ın
kanatlı,kan<>atl<>ı
deyən,dey<>ən
nəmirli,nəmir<>l<>i
sekretar,sekreta<>r
yetmişdi,yet<>mişd<>i
keçdiniz,keç<>dini<>z
zökm,zök<>m
yetinməd,yet<>i<>nməd
gətirirə,gət<>i<>rirə
hacali,hacal<>i
beydulla,beydul<>l<>a
kismi,kism<>i
yüzümə,yüz<>ümə
siyahıda,siy<>ahıd<>a
malavi,mal<>av<>i
sayısını,say<>ısını
istedile,ist<>edil<>e
oxudugum,oxu<>dugu<>m
istilahı,ist<>i<>lahı
dönmüştü,dön<>müşt<>ü
sarkinet,sar<>kinet
asurca,asurc<>a
rişorun,rişor<>u<>n
silmek,sil<>mek
barsil,bar<>sil
hkimler,hkimle<>r
öpürəm,öpürə<>m
finansal,finansa<>l
plenar,plena<>r
sinfi,sin<>fi
yakışan,yakışa<>n
vəfadağl,vəfadağ<>l
şimalla,şimall<>a
sabırla,sabırl<>a
mareşali,mareşa<>l<>i
sözlərlə,söz<>lərl<>ə
plaqiat,pla<>qia<>t
ayırdını,ayırdın<>ı
futures,future<>s
böcek,böce<>k
qostrol,qostro<>l
silinip,sil<>inip
sağdan,sağ<>da<>n
oğludur,oğludu<>r
borclara,bor<>clara
boqun,boqu<>n
boyanmış,boyanm<>ı<>ş
jibek,jib<>e<>k
arzine,arzi<>n<>e
etməsinə,etm<>ə<>sinə
irslə,irsl<>ə
arakatkı,ara<>katk<>ı
muhakeme,muhakem<>e
bakılan,bak<>ıla<>n
görüşdük,gör<>ü<>şdük
topluca,top<>luc<>a
xızı,xız<>ı
telim,tel<>im
mənzəryə,mən<>zəry<>ə
kalındır,kal<>ındı<>r
pocket,pocke<>t
etma,etm<>a
sanovel,san<>ove<>l
türküz,tür<>k<>üz
nomrəli,nomrə<>l<>i
etdiklri,etd<>iklr<>i
başlıyo,baş<>l<>ıyo
bəzənir,bəzəni<>r
llimlik,lliml<>i<>k
ordering,orderi<>n<>g
olanda,ola<>nda
beaumont,beaumon<>t
etdirsə,etd<>i<>rsə
dyrindn,dyrind<>n
uşakları,uşakla<>r<>ı
dönmüşəm,dön<>müşə<>m
bayrağı,bay<>rağı
bulbuli,bul<>bul<>i
cəbhəçi,cəbhəç<>i
görüşd,gör<>ü<>şd
suqra,suqr<>a
birliyin,bir<>l<>iyin
lamaizm,lamaiz<>m
hükümdrı,hükümdr<>ı
şemasını,şeması<>n<>ı
yöndəmli,yön<>dəml<>i
dersiniz,der<>sini<>z
kuyvar,kuyv<>a<>r
patalaya,patala<>y<>a
hazine,haz<>ine
varıban,varıb<>a<>n
gürselin,gürsel<>i<>n
xanədanı,xanədan<>ı
şfiyeva,şfiye<>v<>a
nokari,noka<>r<>i
sirtini,sirti<>n<>i
təlimati,təl<>imati
çalaca,çal<>aca
ödəməyi,ödə<>məyi
çunçuxo,çunçux<>o
müdhiş,müd<>hiş
evdəki,evdə<>k<>i
birinden,bir<>inde<>n
duyd,duy<>d
boraltan,boralt<>a<>n
salla,sal<>la
bölümüne,böl<>ü<>müne
ayça,ayç<>a
qazanur,qaz<>anu<>r
bozluq,bozlu<>q
sarp,sar<>p
faizdən,faizdə<>n
feldən,feldə<>n
inanan,ina<>nan
bsəfərov,bsəfər<>o<>v
birimin,bir<>i<>min
khared,khare<>d
syerra,syer<>r<>a
düklüğü,düklüğ<>ü
çözmeyi,çözmey<>i
karşı,kar<>şı
music,mus<>ic
məhkəmə,məh<>kəmə
olubp,olu<>bp
dövrd,döv<>rd
yırtırla,yırtır<>l<>a
mutiny,mutin<>y
pirləri,pirlə<>r<>i
çalışmak,çal<>ı<>şmak
dərgini,dər<>gin<>i
palataya,palatay<>a
molbrayt,molbray<>t
menkıbe,menkıb<>e
müşkül,müşkü<>l
luvice,luvic<>e
kafanı,kafan<>ı
şöbədən,şöbəd<>ə<>n
dilimizə,dil<>imizə
vurması,vur<>ması
cnovrumm,cnovrum<>m
analarn,ana<>larn
gördüm,gör<>düm
geçmişte,geç<>mişte
telefona,tel<>e<>fona
düşüktü,düş<>ü<>ktü
insann,ins<>ann
gəlinmi,gəl<>inmi
beydir,beydi<>r
şaulyay,şaulya<>y
qaldi,qal<>di
estremeu,estreme<>u
varıyd,var<>ıyd
bağarsıq,bağ<>arsı<>q
sevəcə,sev<>əcə
rugby,rugb<>y
çırağın,çırağ<>ı<>n
açılan,açı<>lan
paqirov,paqir<>o<>v
akrebin,akreb<>i<>n
hakan,hak<>an
öyrəndik,öyr<>ə<>ndik
petunjuk,petunju<>k
kiramet,kirame<>t
değiştir,değ<>iştir
sovutma,sovut<>m<>a
əynimi,əynim<>i
keçdi,keç<>di
bulmaya,bul<>may<>a
illüziya,illüzi<>y<>a
təhrifə,təh<>rifə
genişdir,genişd<>i<>r
əqdin,əqdi<>n
prosedur,pro<>sedur
aqataqro,aqataqr<>o
yaşanı,yaş<>a<>nı
rebus,rebu<>s
toplayb,top<>l<>ayb
asurja,asurj<>a
səfərova,səf<>ərova
açıkladı,açı<>kladı
jeongjo,jeongj<>o
luretı,lure<>t<>ı
bölən,böl<>ən
çıxeli,çıxe<>l<>i
soyut,soy<>ut
əməlinin,əməlin<>i<>n
begavan,begav<>a<>n
pbundan,pbund<>a<>n
utility,utilit<>y
terqi,ter<>q<>i
pozmadan,pozmad<>a<>n
sandık,san<>dık
traviata,tra<>viat<>a
boyük,boyü<>k
piast,pias<>t
öyrədili,öyr<>ə<>dili
çimkənd,çimkə<>n<>d
bromme,bromm<>e
işlevi,işl<>evi
öztaş,özta<>ş
tereza,ter<>ez<>a
karaylar,karayl<>a<>r
gelin,gel<>i<>n
qatarına,qatarı<>n<>a
işlr,işl<>r
söyledi,söy<>l<>edi
bilm,bil<>m
recexpo,recexp<>o
məkandı,mək<>andı
asdırara,asdıra<>r<>a
çataraq,çat<>ara<>q
tuşlanan,tuşlana<>n
doldurun,dol<>durun
qalm,qal<>m
ulaştığı,ulaştığ<>ı
bilckl,bil<>ckl
efirdəki,efirdə<>k<>i
uğrayana,uğrayan<>a
buldozer,buldoz<>e<>r
kulob,kul<>o<>b
sofraya,sofray<>a
dustaq,dusta<>q
maluku,mal<>uk<>u
levinsen,levins<>e<>n
aygünn,aygün<>n
imzalar,imz<>a<>lar
yönümlü,yön<>ümlü
savada,sav<>ada
yazilmaq,yaz<>ilma<>q
useful,usefu<>l
ağaoğlu,ağa<>oğlu
götürən,göt<>ü<>rən
yetən,yet<>ən
imişlidə,imişli<>d<>ə
istense,ist<>ens<>e
elturan,eltur<>a<>n
hyuston,hyust<>o<>n
yürüdür,yür<>üdür
dərgis,dər<>gis
redress,redres<>s
nisbeten,nisbet<>e<>n
düşdux,düş<>dux
sənətə,sən<>ə<>tə
yarrinq,yar<>rin<>q
yapar,yap<>ar
natodan,natod<>a<>n
bölməsin,böl<>məsin
milo,mil<>o
zamanki,zamank<>i
davudun,dav<>udu<>n
anadili,ana<>dili
urgadı,urga<>d<>ı
aaşto,aaşt<>o
qahirədə,qahirə<>d<>ə
bakan,bak<>an
qarş,qar<>ş
məruzəsi,mər<>uzəsi
düşürsə,düş<>ürs<>ə
tarımsal,tar<>ımsa<>l
savoie,sav<>oi<>e
müfəsəl,müfəsə<>l
dumandı,dumand<>ı
ələşov,ələş<>o<>v
qeçdim,qeçdi<>m
qazanib,qaz<>ani<>b
patlican,patlic<>a<>n
çoxa,çox<>a
vadide,vadid<>e
olarkə,ola<>rkə
kare,kar<>e
dönüşüme,dön<>üşüme
azaldlr,aza<>ldl<>r
dikələn,dikəl<>ə<>n
maxundov,maxund<>o<>v
kaplayan,kaplay<>a<>n
yoldilər,yoldil<>ə<>r
peru,per<>u
buanes,buane<>s
təsisata,təs<>isata
kələsi,kələs<>i
kamusal,kamus<>a<>l
dönük,dön<>ük
dərsluği,dər<>sluğ<>i
yürüyən,yür<>üyə<>n
berər,berə<>r
kəsilir,kəs<>ilir
dolğun,dol<>ğun
səsdən,səs<>dən
baletini,bal<>etini
verməmək,ver<>m<>əmək
çağdaki,çağ<>dak<>i
şahnaz,şah<>naz
çözemez,çözeme<>z
verməzd,ver<>m<>əzd
gerard,ger<>ar<>d
mngu,mng<>u
birçok,bir<>çok
yazılara,yaz<>ı<>lara
yerlrdn,yer<>lrd<>n
qoyulsun,qoyuls<>u<>n
şəri,şər<>i
sakkala,sakka<>l<>a
kömürdn,kömürd<>n
baxyenə,bax<>yen<>ə
şuvat,şuv<>a<>t
şahinin,şah<>ini<>n
kvəliyev,kvəliy<>e<>v
planck,pla<>nc<>k
yarmadan,yar<>madan
tapır,tap<>ır
idealla,ide<>alla
edəcəyəm,edəcəyə<>m
daşdan,daş<>da<>n
çəkmir,çək<>mir
haramlar,haraml<>a<>r
lirəsi,lirəs<>i
lirikaya,lirikay<>a
qarət,qar<>ət
arquetdə,arquet<>d<>ə
qkdkritn,qkdkrit<>n
cücrn,cücr<>n
yaygın,yay<>gın
atomlar,atoml<>a<>r
sınor,sın<>o<>r
ishakın,ishak<>ı<>n
salnamlr,sal<>naml<>r
atavaş,ata<>vaş
saygıl,say<>gıl
dershane,der<>shane
abdinov,abdin<>o<>v
istyi,ist<>yi
söyləni,söy<>l<>əni
çöllerle,çöllerl<>e
yaşamı,yaş<>a<>mı
alıp,alı<>p
qaymak,qay<>mak
bulutlu,bul<>u<>tlu
borclu,bor<>clu
afrodita,afrodit<>a
yükləmə,yük<>ləmə
ayrından,ayrınd<>a<>n
dairədə,dairəd<>ə
beslenen,beslene<>n
tixon,tix<>o<>n
etmeğe,etm<>eğ<>e
artik,art<>ik
uzaqla,uza<>qla
bankası,ban<>kası
varya,var<>ya
mutsuz,mutsu<>z
